Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,678.1,0,03:31.6,02:21.2,3.54,00:00.0,0,30,94,5.9,0,---,---,---,---,---,---,---,---,---,---,52.5688286,-0.1849086
1,686.3,0,03:33.8,02:20.4,3.56,00:00.0,0,30,95,8.2,0,---,---,---,---,---,---,---,---,---,---,52.5688101,-0.1850253
1,693.2,0,03:35.8,02:21.2,3.54,00:00.0,0,30,96,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5687926,-0.1851236
1,699.6,0,03:37.7,02:23.7,3.48,00:00.0,0,30,97,6.4,0,---,---,---,---,---,---,---,---,---,---,52.5687772,-0.185214
1,707.1,0,03:39.8,02:20.8,3.55,00:00.0,0,30,98,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5687623,-0.1853218
1,714.1,0,03:41.8,02:21.6,3.53,00:00.0,0,30,99,7,0,---,---,---,---,---,---,---,---,---,---,52.5687477,-0.1854225
1,720.5,0,03:43.7,02:22.0,3.52,00:00.0,0,30,100,6.5,0,---,---,---,---,---,---,---,---,---,---,52.5687375,-0.1855168
1,728.1,0,03:45.8,02:18.9,3.6,00:00.0,0,30,101,7.5,0,---,---,---,---,---,---,---,---,---,---,52.5687252,-0.1856262
1,734.5,0,03:47.6,02:20.4,3.56,00:00.0,0,31,102,6.4,0,---,---,---,---,---,---,---,---,---,---,52.568712,-0.1857182
1,740.8,0,03:49.6,02:24.1,3.47,00:00.0,0,30,103,6.3,0,---,---,---,---,---,---,---,---,---,---,52.5686997,-0.1858091
1,748,0,03:51.6,02:23.3,3.49,00:00.0,0,31,104,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5686893,-0.1859144
1,754.8,0,03:53.6,02:23.7,3.48,00:00.0,0,30,105,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5686791,-0.1860131
1,761,0,03:55.6,02:26.2,3.42,00:00.0,0,31,106,6.2,0,---,---,---,---,---,---,---,---,---,---,52.5686688,-0.1861034
1,768.2,0,03:57.6,02:24.5,3.46,00:00.0,0,30,107,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5686608,-0.1862098
1,774.9,0,03:59.6,02:24.5,3.46,00:00.0,0,28.5,108,6.7,0,---,---,---,---,---,---,---,---,---,---,52.5686518,-0.1863079
1,781.1,0,04:01.6,02:27.5,3.39,00:00.0,0,31,109,6.1,0,---,---,---,---,---,---,---,---,---,---,52.5686408,-0.1863967
1,788.3,0,04:03.6,02:25.8,3.43,00:00.0,0,28.5,110,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5686285,-0.1865023
1,795.1,0,04:05.6,02:25.8,3.43,00:00.0,0,30,111,6.7,0,---,---,---,---,---,---,---,---,---,---,52.5686138,-0.1865987
